Manga series,Author(s),Publisher,Demographic,No. of collected Volumes,Serialized,Approximate sales
One Piece,Eiichiro Oda,Shueisha,Shōnen,109,1997–present,516.6 million†‡[1]
Doraemon,Fujiko F. Fujio,Shogakukan,Children,45,1969–1996,300 million[2]
Golgo 13,"Takao Saito, Saito Production",Shogakukan,Seinen,213,1968–present,300 million†[3]
Case Closed / Detective Conan,Gosho Aoyama,Shogakukan,Shōnen,105,1994–present,270 million†[4]
Dragon Ball,Akira Toriyama,Shueisha,Shōnen,42,1984–1995,260 million[5]
Naruto,Masashi Kishimoto,Shueisha,Shōnen,72,1999–2014,250 million†[6]
Slam Dunk,Takehiko Inoue,Shueisha,Shōnen,31,1990–1996,185 million†[7]
KochiKame: Tokyo Beat Cops,Osamu Akimoto,Shueisha,Shōnen,201,1976–2016,156.5 million†[8]
Demon Slayer: Kimetsu no Yaiba,Koyoharu Gotouge,Shueisha,Shōnen,23,2016–2020,150 million†‡[9]
Crayon Shin-chan,"Yoshito Usui, UY Team",Futabasha,Seinen,63,1990–present,148 million†[a][10]
Attack on Titan,Hajime Isayama,Kodansha,Shōnen,34,2009–2021,140 million†‡[11]
Oishinbo,"Tetsu Kariya, Akira Hanasaki",Shogakukan,Seinen,111,1983–2014 (on hiatus),135 million†[12]
Bleach,Tite Kubo,Shueisha,Shōnen,74,2001–2016,130 million†[13]
JoJo's Bizarre Adventure,Hirohiko Araki,Shueisha,Shōnen / Seinen,135,1987–present,120 million†[14]
Astro Boy,Osamu Tezuka,Kobunsha,Shōnen,23,1952–1968,100 million[15]
Baki the Grappler,Keisuke Itagaki,Akita Shoten,Shōnen,191,1991–present,100 million†[b][16]
Fist of the North Star,"Buronson, Tetsuo Hara",Shueisha,Shōnen,27,1983–1988,100 million[17]
Hajime no Ippo,George Morikawa,Kodansha,Shōnen,141,1989–present,100 million†[18]
Jujutsu Kaisen,Gege Akutami,Shueisha,Shōnen,29[c],2018–2024,100 million†‡[19]
The Kindaichi Case Files,"Yōzaburō Kanari, Seimaru Amagi, Fumiya Satō",Kodansha,Shōnen / Seinen,95,1992–present,100 million†[20]
Kingdom,Yasuhisa Hara,Shueisha,Seinen,72,2006–present,100 million†‡[21]
My Hero Academia,Kōhei Horikoshi,Shueisha,Shōnen,41,2014–2024,100 million†‡[22][d]
Touch,Mitsuru Adachi,Shogakukan,Shōnen,26,1981–1986,100 million[23]
